url,address,neighborhood,rent,beds,baths,flexs
https://www.renthop.com/listings/11-west-82nd-street/3/15815002,"11 West 82nd Street, Apt 3","Upper West Side, Upper Manhattan, Manhattan",2800,0,2.0,1.0
https://www.renthop.com/listings/53-west-72nd-street/4f/15825218,"53 West 72nd Street, Apt 4F","Upper West Side, Upper Manhattan, Manhattan",2348,0,1.0,
https://www.renthop.com/listings/324-east-35th-street/1d/15766455,"324 East 35th Street, Apt 1D","Murray Hill, Midtown Manhattan, Manhattan",3500,2,2.0,
https://www.renthop.com/listings/96-09-66th-avenue/6/15125452,"96-09 66th Avenue, Apt 6","Rego Park, Northwestern Queens, Queens",2200,2,1.0,
https://www.renthop.com/listings/259-rogers-avenue/3f/15812765,"259 Rogers Avenue, Apt 3F","Crown Heights, Central Brooklyn, Brooklyn",2400,1,1.0,
https://www.renthop.com/listings/72-81-113th-street/6/15107739,"72-81 113th Street, Apt 6","Forest Hills, Northwestern Queens, Queens",2600,2,1.0,
https://www.renthop.com/listings/252-first-avenue/5d/14481561,"252 First Avenue, Apt 5D","Stuyvesant Town - Peter Cooper Village, Midtown Manhattan, Manhattan",3892,1,1.0,2.0
https://www.renthop.com/listings/20-broad-st/2119/15721062,"20 Broad St, Apt 2119","Financial District, Downtown Manhattan, Manhattan",4695,1,1.0,2.0
https://www.renthop.com/listings/120-vermilyea-avenue/a33/15817465,"120 Vermilyea Avenue, Apt A33","Inwood, Upper Manhattan, Manhattan",2350,2,1.0,
https://www.renthop.com/listings/147-west-79th-street/2bc/15777568,"147 West 79th Street, Apt 2BC","Upper West Side, Upper Manhattan, Manhattan",6400,2,2.0,
https://www.renthop.com/listings/19-dutch-street/18i/15429798,"19 Dutch Street, Apt 18I","Financial District, Downtown Manhattan, Manhattan",4650,1,1.0,
https://www.renthop.com/listings/80-haven-ave/2c/15825204,"80 Haven Ave, Apt 2C","Washington Heights, Upper Manhattan, Manhattan",2995,3,1.0,
https://www.renthop.com/listings/east-36th-street/3b/15815217,East 36th Street,"Murray Hill, Midtown Manhattan, Manhattan",2795,1,1.0,
https://www.renthop.com/listings/420-east-79th-street/7def/15632907,"420 East 79th Street, Apt 7DEF...","Upper East Side, Upper Manhattan, Manhattan",5950,2,2.0,
https://www.renthop.com/listings/326-e-35th-street/1/15825199,"326 E 35th Street, Apt 1","Murray Hill, Midtown Manhattan, Manhattan",3495,2,1.0,
https://www.renthop.com/listings/592-amsterdam-avenue/17/15717375,"592 Amsterdam Avenue, Apt 17","Upper West Side, Upper Manhattan, Manhattan",3075,2,1.0,
https://www.renthop.com/listings/east-20s/b208/15595617,East 20's,"Kips Bay, Midtown Manhattan, Manhattan",3500,1,1.0,2.0
https://www.renthop.com/listings/518-e-5th-street/11/15825210,"518 E 5th Street, Apt 11","Alphabet City, East Village, Downtown Manhattan, Manhattan",2250,0,1.0,
https://www.renthop.com/listings/1486-bedford-avenue/3b/15812721,"1486 Bedford Avenue, Apt 3B","Crown Heights, Central Brooklyn, Brooklyn",2700,2,1.0,
https://www.renthop.com/listings/592-amsterdam-avenue/17/15717375,"592 Amsterdam Avenue, Apt 17","Upper West Side, Upper Manhattan, Manhattan",3075,2,1.0,
https://www.renthop.com/listings/117-west-13th-street/32/15775235,"117 West 13th Street, Apt 32","West Village, Downtown Manhattan, Manhattan",3750,1,1.0,
https://www.renthop.com/listings/east-20s/b208/15595617,East 20's,"Kips Bay, Midtown Manhattan, Manhattan",3500,1,1.0,2.0
https://www.renthop.com/listings/231-east-12th-street/335/12859372,"231 East 12th Street, Apt 335","East Village, Downtown Manhattan, Manhattan",4950,3,1.0,
https://www.renthop.com/listings/518-e-5th-street/11/15825210,"518 E 5th Street, Apt 11","Alphabet City, East Village, Downtown Manhattan, Manhattan",2250,0,1.0,
https://www.renthop.com/listings/121-west-122nd-street/3r/15818832,"121 West 122nd Street, Apt 3R","Central Harlem, Upper Manhattan, Manhattan",2300,1,1.0,
https://www.renthop.com/listings/east-38th-street/1204/15815298,East 38th Street,"Murray Hill, Midtown Manhattan, Manhattan",3695,1,1.0,2.0
https://www.renthop.com/listings/west-45th-street/2806/15794611,West 45th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",3495,1,1.0,
https://www.renthop.com/listings/w-156/41/15816750,W 156,"Washington Heights, Upper Manhattan, Manhattan",2285,2,1.0,
https://www.renthop.com/listings/fort-washington-ave/58/15819685,Fort Washington Ave,"Washington Heights, Upper Manhattan, Manhattan",2750,2,1.0,
https://www.renthop.com/listings/west-43rd-street/32d/15806668,West 43rd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",6800,3,2.0,
https://www.renthop.com/listings/3-west-137th-street/3b/15809774,"3 West 137th Street, Apt 3B","Central Harlem, Upper Manhattan, Manhattan",2550,2,1.0,
https://www.renthop.com/listings/delancey/1114/15408500,Delancey,"Lower East Side, Downtown Manhattan, Manhattan",6795,3,2.0,
https://www.renthop.com/listings/1299-putnam-ave/2/15505753,"1299 Putnam Ave, Apt 2","Bushwick, Northern Brooklyn, Brooklyn",2499,2,1.0,
https://www.renthop.com/listings/240-east-39th-street/10k/15393977,"240 East 39th Street, Apt 10K","Murray Hill, Midtown Manhattan, Manhattan",3795,1,1.0,
https://www.renthop.com/listings/broadway/5m/14739659,Broadway,"Fort George, Washington Heights, Upper Manhattan, Manhattan",1725,1,1.0,
https://www.renthop.com/listings/250-w-90/ph1g/15680750,"250 West 90th Street, Apt PH1G...","Upper West Side, Upper Manhattan, Manhattan",7000,2,2.0,
https://www.renthop.com/listings/10-west-107th-street/4b/14259979,"10 West 107th Street, Apt 4B","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",2200,2,1.0,
https://www.renthop.com/listings/222-east-44th-street/38d/15424913,"222 East 44th Street, Apt 38D","Turtle Bay, Midtown East, Midtown Manhattan, Manhattan ",4250,0,1.0,1.0
https://www.renthop.com/listings/10-west-107th-street/4b/14259979,"10 West 107th Street, Apt 4B","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",2200,2,1.0,
https://www.renthop.com/listings/222-east-44th-street/38d/15424913,"222 East 44th Street, Apt 38D","Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",4250,0,1.0,1.0
https://www.renthop.com/listings/145-4th-avenue/10ba/15775226,"145 4th Avenue, Apt 10BA","Greenwich Village, Downtown Manhattan, Manhattan",5645,1,1.0,
https://www.renthop.com/listings/west-37th-street/15g/15793306,West 37th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",3450,1,1.0,2.0
https://www.renthop.com/listings/606-west-57th-street/1718/15389327,"606 West 57th Street, Apt 1718...","Hell's Kitchen, Midtown Manhattan, Manhattan",4107,1,1.0,
