url,address,neighborhood,rent,beds,baths,flexs,zip
https://www.renthop.com/listings/86-horatio-st/na/13844784,86 Horatio St,"West Village, Manhattan, Downtown Manhattan, Downtown, Greenwich Village, meat packing",2400,0,1.0,0.0,10014
https://www.renthop.com/listings/95-christopher-street/2c/15814991,"95 Christopher Street, Apt 2C","West Village, Downtown Manhattan, Manhattan",3450,0,1.0,0.0,10014
https://www.renthop.com/listings/45-west-60th-street/9j/15349445,"45 West 60th Street, Apt 9J","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",6295,2,2.0,0.0,10023
https://www.renthop.com/listings/1134-fulton-street/4u/15647911,"1134 Fulton Street, Apt 4U","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",3046,1,1.0,2.0,11216
https://www.renthop.com/listings/1134-fulton-street/9q/15836974,"1134 Fulton Street, Apt 9Q","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2884,1,1.0,0.0,11216
https://www.renthop.com/listings/1057-first-ave/3d/15777582,"1057 First Ave, Apt 3D","Sutton Place, Midtown East, Midtown Manhattan, Manhattan",2053,0,1.0,0.0,10022
https://www.renthop.com/listings/249-east-48th-street/15-d/15684259,"249 East 48th Street, Apt 15D","Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",8450,3,3.0,0.0,10017
https://www.renthop.com/listings/620-west-42nd-street/22j/15829413,"620 West 42nd Street, Apt 22J","Hell's Kitchen, Midtown Manhattan, Manhattan",3200,0,1.0,1.0,10036
https://www.renthop.com/listings/401-west-22nd-street/phxcv/15777568,"401 West 22nd Street, Apt PHXC...","Chelsea, Midtown Manhattan, Manhattan",5250,1,1.0,0.0,10011
https://www.renthop.com/listings/1134-fulton-street/4u/15647911,"1134 Fulton Street, Apt 4U","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",3046,1,1.0,2.0,11216
https://www.renthop.com/listings/1007-second-avenue/3f/15756111,"1007 Second Avenue, Apt 3F","Midtown East, Midtown Manhattan, Manhattan",2250,0,1.0,0.0,10022
https://www.renthop.com/listings/68-clinton-street/1b/15770148,"68 Clinton Street, Apt 1B","Lower East Side, Downtown Manhattan, Manhattan",4295,2,1.0,0.0,10002
https://www.renthop.com/listings/4615-center-boulevard/809/14464301,"4615 Center Boulevard, Apt 809...","Hunters Point, Long Island City, Northwestern Queens, Queens",2989,1,1.0,0.0,11109
https://www.renthop.com/listings/1134-fulton-street/9q/15836974,"1134 Fulton Street, Apt 9Q","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2884,1,1.0,0.0,11216
https://www.renthop.com/listings/1057-first-ave/3d/15777582,"1057 First Ave, Apt 3D","Sutton Place, Midtown East, Midtown Manhattan, Manhattan",2053,0,1.0,0.0,10022
https://www.renthop.com/listings/249-east-48th-street/15-d/15684259,"249 East 48th Street, Apt 15D","Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",8450,3,3.0,0.0,10017
https://www.renthop.com/listings/620-west-42nd-street/22j/15829413,"620 West 42nd Street, Apt 22J","Hell's Kitchen, Midtown Manhattan, Manhattan",3200,0,1.0,1.0,10036
https://www.renthop.com/listings/401-west-22nd-street/phxcv/15777568,"401 West 22nd Street, Apt PHXC...","Chelsea, Midtown Manhattan, Manhattan",5250,1,1.0,0.0,10011
https://www.renthop.com/listings/west-50th-street/2/14962240,"530 West 50th Street, Apt 2","Hell's Kitchen, Midtown Manhattan, Manhattan",3500,2,1.0,0.0,10019
https://www.renthop.com/listings/330-west-39th-street/23e/14464277,"330 West 39th Street, Apt 23E","Garment District, Midtown Manhattan, Manhattan",5890,2,2.0,0.0,10018
https://www.renthop.com/listings/60-riverside-boulevard/318/15598772,"60 Riverside Boulevard, Apt 31...","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",4870,1,1.0,0.0,10069
https://www.renthop.com/listings/7-east-86th-street/10ba/15775235,"7 East 86th Street, Apt 10BA","Carnegie Hill, Upper East Side, Upper Manhattan, Manhattan",3250,1,1.0,0.0,10028
https://www.renthop.com/listings/240-east-39th-street/20g/15740993,"240 East 39th Street, Apt 20G","Murray Hill, Midtown Manhattan, Manhattan",6620,2,2.0,0.0,10016
https://www.renthop.com/listings/west-50th-street/2/14962240,"530 West 50th Street, Apt 2","Hell's Kitchen, Midtown Manhattan, Manhattan",3500,2,1.0,0.0,10019
https://www.renthop.com/listings/330-west-39th-street/23e/14464277,"330 West 39th Street, Apt 23E","Garment District, Midtown Manhattan, Manhattan",5890,2,2.0,0.0,10018
https://www.renthop.com/listings/230-e-89th-st/3w/15490528,"230 E 89th St, Apt 3W","Yorkville, Upper East Side, Upper Manhattan, Manhattan",3000,2,1.0,0.0,10128
https://www.renthop.com/listings/201-east-69th-street/12t/15214613,"201 East 69th Street, Apt 12T","Upper East Side, Upper Manhattan, Manhattan",3988,1,1.0,0.0,10021
https://www.renthop.com/listings/60-riverside-boulevard/318/15598772,"60 Riverside Boulevard, Apt 31...","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",4870,1,1.0,0.0,10069
https://www.renthop.com/listings/236-east-36th-street/5e/15637620,"236 East 36th Street, Apt 5E","Murray Hill, Midtown Manhattan, Manhattan",2695,0,1.0,0.0,10016
https://www.renthop.com/listings/7-east-86th-street/10ba/15775235,"7 East 86th Street, Apt 10BA","Carnegie Hill, Upper East Side, Upper Manhattan, Manhattan",3250,1,1.0,0.0,10028
https://www.renthop.com/listings/240-east-39th-street/20g/15740993,"240 East 39th Street, Apt 20G","Murray Hill, Midtown Manhattan, Manhattan",6620,2,2.0,0.0,10016
https://www.renthop.com/listings/117-east-71st-street/5bc/15634379,"117 East 71st Street, Apt 5BC","Lenox Hill, Upper East Side, Upper Manhattan, Manhattan",2450,0,1.0,0.0,10021
https://www.renthop.com/listings/111-west-14th-street/0/14170367,"111 West 14th Street, Apt 0","Chelsea, Midtown Manhattan, Manhattan",3195,1,1.0,0.0,10011
https://www.renthop.com/listings/561-tenth-avenue/4c/15777564,"561 Tenth Avenue, Apt 4C","Hell's Kitchen, Midtown Manhattan, Manhattan",3062,0,1.0,0.0,10024
https://www.renthop.com/listings/315-west-33rd-street/26k/15056870,"315 West 33rd Street, Apt 26K","Chelsea, Midtown Manhattan, Manhattan",5911,2,2.0,0.0,10001
https://www.renthop.com/listings/561-tenth-avenue/4c/15777564,"561 Tenth Avenue, Apt 4C","Hell's Kitchen, Midtown Manhattan, Manhattan",3062,0,1.0,0.0,10024
https://www.renthop.com/listings/315-west-33rd-street/26k/15056870,"315 West 33rd Street, Apt 26K","Chelsea, Midtown Manhattan, Manhattan",5911,2,2.0,0.0,10001
https://www.renthop.com/listings/271-west-47th-street/14g/14481568,"271 West 47th Street, Apt 14G","Theater District, Midtown Manhattan, Manhattan",3020,0,1.0,0.0,10036
https://www.renthop.com/listings/314-e-91-street/5w/6470893,"314 E 91 Street, Apt 5W","Yorkville, Upper East Side, Upper Manhattan, Manhattan",2500,1,1.0,0.0,10128
https://www.renthop.com/listings/435-west-31st-street/39d/15740970,"435 West 31st Street, Apt 39D","Chelsea, Midtown Manhattan, Manhattan",3411,0,1.0,0.0,10001
https://www.renthop.com/listings/260-west-52nd-street/10h/14464324,"260 West 52nd Street, Apt 10H","Theater District, Midtown Manhattan, Manhattan",2916,0,1.0,0.0,10019
https://www.renthop.com/listings/147-east-72nd-street/5f/15689192,"147 East 72nd Street, Apt 5F","Lenox Hill, Upper East Side, Upper Manhattan, Manhattan",2550,1,1.0,0.0,10021
https://www.renthop.com/listings/165-east-35th-street/4f/15563740,"165 East 35th Street, Apt 4F","Murray Hill, Midtown Manhattan, Manhattan",3500,2,1.0,0.0,10016
https://www.renthop.com/listings/19-dutch-street/18i/15429798,"19 Dutch Street, Apt 18I","Financial District, Downtown Manhattan, Manhattan",4769,1,1.0,0.0,10038
https://www.renthop.com/listings/505-west-37th-street/702/15389339,"505 West 37th Street, Apt 702","Hell's Kitchen, Midtown Manhattan, Manhattan",3662,1,1.0,0.0,10018
https://www.renthop.com/listings/550-west-45th-street/720/15775297,"550 West 45th Street, Apt 720","Hell's Kitchen, Midtown Manhattan, Manhattan",3190,0,1.0,1.0,10036
https://www.renthop.com/listings/505-west-37th-street/702/15389339,"505 West 37th Street, Apt 702","Hell's Kitchen, Midtown Manhattan, Manhattan",3662,1,1.0,0.0,10018
https://www.renthop.com/listings/550-west-45th-street/720/15775297,"550 West 45th Street, Apt 720","Hell's Kitchen, Midtown Manhattan, Manhattan",3190,0,1.0,1.0,10036
https://www.renthop.com/listings/505-west-37th-street/203/15219507,"505 West 37th Street, Apt 203","Hell's Kitchen, Midtown Manhattan, Manhattan",2860,0,1.0,0.0,10018
https://www.renthop.com/listings/west-13th-street-6th-av/20/14775276,"117 West 13th Street, Apt 20","West Village, Downtown Manhattan, Manhattan",3750,1,1.0,0.0,10011
https://www.renthop.com/listings/685-1st-avenue/15n/15056782,"685 1st Avenue, Apt 15N","Murray Hill, Midtown Manhattan, Manhattan",3512,0,1.0,0.0,10016
https://www.renthop.com/listings/235-east-83rd-street/6ih/15632907,"235 East 83rd Street, Apt 6IH","Yorkville, Upper East Side, Upper Manhattan, Manhattan",2650,1,1.0,0.0,10028
https://www.renthop.com/listings/155-east-31st-street/w11h/15835827,"155 East 31st Street, Apt W11H...","Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",5145,2,2.0,0.0,10016
https://www.renthop.com/listings/101-west-end-avenue/5w/15393657,"101 West End Avenue, Apt 5W","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",3270,0,1.0,0.0,10023
https://www.renthop.com/listings/1326-ocean-ave-6r/6r/15744180,"1326 Ocean Ave, Apt 6R","Flatbush, Central Brooklyn, Brooklyn",2725,2,1.0,0.0,11230
https://www.renthop.com/listings/1-west-street/2614/15513200,"1 West Street, Apt 2614","Financial District, Downtown Manhattan, Manhattan",3000,0,1.0,2.0,10004
https://www.renthop.com/listings/217-east-88th-street/15/15563738,"217 East 88th Street, Apt 15","Yorkville, Upper East Side, Upper Manhattan, Manhattan",2482,1,1.0,0.0,10128
https://www.renthop.com/listings/30th-st-and-9th-ave/10/15637520,"370 West 30th St, Apt 10","Chelsea, Midtown Manhattan, Manhattan",3600,2,1.0,0.0,10001
