url,address,neighborhood,rent,beds,baths,flexs
https://www.renthop.com/listings/626-1st-avenue/w17m/15393842,"626 1st Avenue, Apt W17M","Murray Hill, Midtown Manhattan, Manhattan","$3,408",Studio,1_Bath,
https://www.renthop.com/listings/east-20s/b208/15595617,East 20's,"Kips Bay, Midtown Manhattan, Manhattan","$3,500",1_Bed,1_Bath,/_Flex_2_
https://www.renthop.com/listings/20-exchange-place/2601/15779641,"20 Exchange Place, Apt 2601","Financial District, Downtown Manhattan, Manhattan","$3,673",1_Bed,1_Bath,
https://www.renthop.com/listings/queens-st/na/13607585,Queens St,"Long Island City, Northwestern Queens, Queens","$2,529",Studio,1_Bath,
https://www.renthop.com/listings/first-avenue/23/14219567,First Avenue,"Alphabet City, East Village, Downtown Manhattan, Manhattan","$3,880",2_Bed,1_Bath,
https://www.renthop.com/listings/crescent-st/na/12748791,Crescent St,"Long Island City, Northwestern Queens, Queens","$2,585",Studio,1_Bath,/_Flex_1_
https://www.renthop.com/listings/west-42nd-street/31125/15826829,West 42nd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,425",1_Bed,1_Bath,/_Flex_2_
https://www.renthop.com/listings/28th-street/55d/15826739,28th Street,"Long Island City, Northwestern Queens, Queens","$5,100",2_Bed,2_Bath,
https://www.renthop.com/listings/west-37th-street/619/15806868,West 37th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$2,895",Studio,1_Bath,
https://www.renthop.com/listings/west-42nd-street/23h/15804473,West 42nd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,342",1_Bed,1_Bath,/_Flex_2_
https://www.renthop.com/listings/west-48th-street/32h/15826671,West 48th Street,"Theater District, Midtown Manhattan, Manhattan","$5,200",2_Bed,2_Bath,
https://www.renthop.com/listings/8-av-43rd-st/15b/12922895,8 Av /43rd st,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,650",1_Bed,1_Bath,/_Flex_2_
https://www.renthop.com/listings/west-37th-street/15f/15826572,West 37th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,375",1_Bed,1_Bath,
https://www.renthop.com/listings/west-43rd-street/9f/15826857,West 43rd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,375",1_Bed,1_Bath,
https://www.renthop.com/listings/211-mcguinness-boulevard/224/15676481,"211 Mcguinness Boulevard, Apt ...","Greenpoint, Northern Brooklyn, Brooklyn","$3,575",1_Bed,1_Bath,/_Flex_2_
https://www.renthop.com/listings/west-53rd-street/226/15826691,West 53rd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,195",1_Bed,1_Bath,
https://www.renthop.com/listings/east-86th-madison/824/15837085,East 86th & Madison ,"Upper East Side, Upper Manhattan, Manhattan","$3,900",1_Bed,1_Bath,
https://www.renthop.com/listings/e-89th-street/4f/15791276,E 89th Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan","$2,375",1_Bed,1_Bath,
https://www.renthop.com/listings/2-gold-st/3113/15828774,"2 Gold St., Apt 3113","Financial District, Downtown Manhattan, Manhattan","$3,622",1_Bed,1_Bath,/_Flex_2_
https://www.renthop.com/listings/west-57th-street/1603/15826232,West 57th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,395",1_Bed,1_Bath,
https://www.renthop.com/listings/east-86th-madison/824/15837085,East 86th & Madison ,"Upper East Side, Upper Manhattan, Manhattan","$3,900",1_Bed,1_Bath,
https://www.renthop.com/listings/e-89th-street/4f/15791276,E 89th Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan","$2,375",1_Bed,1_Bath,
https://www.renthop.com/listings/2-gold-st/3113/15828774,"2 Gold St., Apt 3113","Financial District, Downtown Manhattan, Manhattan","$3,622",1_Bed,1_Bath,/_Flex_2_
https://www.renthop.com/listings/west-57th-street/1603/15826232,West 57th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,395",1_Bed,1_Bath,
https://www.renthop.com/listings/e-78-street/2b/15829397,E 78 Street,"Upper East Side, Upper Manhattan, Manhattan","$3,250",1_Bed,1_Bath,
https://www.renthop.com/listings/527-east-88th-st/4r/15791364,"527 East 88th St, Apt 4R","Yorkville, Upper East Side, Upper Manhattan, Manhattan","$4,115",2_Bed,1_Bath,
https://www.renthop.com/listings/200-water-st/1018/15828757,"200 Water St., Apt 1018","Financial District, Downtown Manhattan, Manhattan","$4,900",2_Bed,2_Bath,/_Flex_3_
