url,address,neighborhood,rent,beds,baths,flexs,zip
https://www.renthop.com/listings/400-west-63rd-street/1402/15747813,"400 West 63rd Street, Apt 1402...","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan","$4,260",1,1,0,
https://www.renthop.com/listings/east-63rd-street/6-n/15750403,East 63rd Street,"Upper East Side, Upper Manhattan, Manhattan","$3,925",1,1,0,
https://www.renthop.com/listings/400-west-63rd-street/1402/15747813,"400 West 63rd Street, Apt 1402...","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan","$4,260",1,1,0,
https://www.renthop.com/listings/east-39th-street/1604/15656114,East 39th Street,"Murray Hill, Midtown Manhattan, Manhattan","$3,600",1,1,0,
https://www.renthop.com/listings/309-5th-avenue/4e/15225561,"309 5th Avenue, Apt 4E","Murray Hill, Midtown Manhattan, Manhattan","$3,450",0,1,0,
https://www.renthop.com/listings/245-east-58th-street/4g/15864362,"245 East 58th Street, Apt 4G","Midtown East, Midtown Manhattan, Manhattan","$4,750",1,2,0,
https://www.renthop.com/listings/east-46th-street/32a/15422095,East 46th Street,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan","$3,495",1,1,0,
https://www.renthop.com/listings/ave-a-e-12th-st/8/15818817,Ave A & E 12th St,"East Village, Downtown Manhattan, Manhattan","$2,850",1,1,0,
https://www.renthop.com/listings/astor-place/3/15620910,Astor Place,"NoHo, Downtown Manhattan, Manhattan","$3,150",0,1,0,
https://www.renthop.com/listings/500-sterling-place/apt-6g/15755978,"500 Sterling Place, Apt APT. 6...","Prospect Heights, Northwestern Brooklyn, Brooklyn","$2,500",0,1,0,
https://www.renthop.com/listings/1370-saint-nicholas-ave/17r/15864353,"1370 Saint Nicholas Ave, Apt 1...","Washington Heights, Upper Manhattan, Manhattan","$3,495",3,2,0,
https://www.renthop.com/listings/20-exchange-place/2601/15779641,"20 Exchange Place, Apt 2601","Financial District, Downtown Manhattan, Manhattan","$3,673",1,1,0,
https://www.renthop.com/listings/542-west-153rd-street/401/15843308,"542 West 153rd Street, Apt 401...","Hamilton Heights, West Harlem, Upper Manhattan, Manhattan","$3,222",2,1,0,
https://www.renthop.com/listings/1370-saint-nicholas-ave/15l/15781091,"1370 Saint Nicholas Ave, Apt 1...","Washington Heights, Upper Manhattan, Manhattan","$1,850",0,1,0,
https://www.renthop.com/listings/37-51-79th-st/6j/15856392,"37-51 79th St, Apt 6J","Jackson Heights, Northwestern Queens, Queens","$1,695",0,1,0,
https://www.renthop.com/listings/w-60th-st/16c/15308364,W 60th St.,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan","$4,400",1,1,0,
https://www.renthop.com/listings/81-31-baxter-ave/6d/15856391,"81-31 Baxter Ave, Apt 6D","Elmhurst, Northwestern Queens, Queens","$1,716",0,1,0,
https://www.renthop.com/listings/229-231-east-12th-stret/33/15864287,"229-231 East 12th Stret, Apt 3...","East Village, Downtown Manhattan, Manhattan","$4,950",3,1,0,
https://www.renthop.com/listings/w-108-st-amsterdam-ave/apt-7/15777509,W 108 St & Amsterdam Ave,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan","$3,600",4,2,0,
https://www.renthop.com/listings/420-lexington-ave/7d/15817744,"420 Lexington Ave, Apt 7D","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn","$3,250",2,1,0,
https://www.renthop.com/listings/1513-dean-st/1/15670893,"1513 Dean St, Apt 1","Crown Heights, Central Brooklyn, Brooklyn","$2,699",2,1,0,
https://www.renthop.com/listings/81-31-baxter-ave/6d/15856391,"81-31 Baxter Ave, Apt 6D","Elmhurst, Northwestern Queens, Queens","$1,716",0,1,0,
https://www.renthop.com/listings/229-231-east-12th-stret/33/15864287,"229-231 East 12th Stret, Apt 3...","East Village, Downtown Manhattan, Manhattan","$4,950",3,1,0,
https://www.renthop.com/listings/w-108-st-amsterdam-ave/apt-7/15777509,W 108 St & Amsterdam Ave,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan","$3,600",4,2,0,
https://www.renthop.com/listings/420-lexington-ave/7d/15817744,"420 Lexington Ave, Apt 7D","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn","$3,250",2,1,0,
https://www.renthop.com/listings/1513-dean-st/1/15670893,"1513 Dean St, Apt 1","Crown Heights, Central Brooklyn, Brooklyn","$2,699",2,1,0,
https://www.renthop.com/listings/west-60th-street/34f/15620946,West 60th Street,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan","$3,995",1,1,0,
https://www.renthop.com/listings/64-85-booth-street/6i/15856395,"64-85 Booth Street, Apt 6I","Rego Park, Northwestern Queens, Queens","$2,582",2,1,0,
https://www.renthop.com/listings/21-magaw-st/na/15864441,21 Magaw St,"Hudson Heights, Washington Heights, Upper Manhattan, Manhattan","$1,750",1,1,0,
https://www.renthop.com/listings/17-monitor-st/na/15853817,17 Monitor St,"Williamsburg, Northern Brooklyn, Brooklyn","$4,400",3,1,0,
https://www.renthop.com/listings/325-5th-ave/16h/15513211,"325 5th Ave, Apt 16H","Murray Hill, Midtown Manhattan, Manhattan","$7,200",2,2,0,
https://www.renthop.com/listings/ann-st/5r/15855389, Ann St,"Financial District, Downtown Manhattan, Manhattan","$5,650",2,1,3,
https://www.renthop.com/listings/water-street/1510/15863231,Water Street,"Financial District, Downtown Manhattan, Manhattan","$7,306",3,3,4,
https://www.renthop.com/listings/194-montrose-ave/3l/15851358,"194 Montrose Ave, Apt 3L","East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn","$4,600",4,2,0,
https://www.renthop.com/listings/165-east-66th-st/na/15772817,165 East 66th St,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan","$16,500",3,3,0,
https://www.renthop.com/listings/107th-street-and-broadway/4/15797926,"311 West 107th Street, Apt 4","Upper West Side, Upper Manhattan, Manhattan","$2,325",0,1,0,
https://www.renthop.com/listings/waverly-place/5-k/15784693,Waverly Place,"Greenwich Village, Downtown Manhattan, Manhattan","$3,950",2,1,0,
https://www.renthop.com/listings/2309-astoria-boulevard/3f/12890730,"2309 Astoria Boulevard, Apt 3F...","Astoria, Northwestern Queens, Queens","$2,700",2,1,0,
https://www.renthop.com/listings/49-park-avenue/1a/15791401,"49 Park Avenue, Apt 1A","Murray Hill, Midtown Manhattan, Manhattan","$3,150",1,1,0,
https://www.renthop.com/listings/front-street-seaport/2b/15855561, front street seaport ,"Financial District, Downtown Manhattan, Manhattan","$4,000",1,1,0,
https://www.renthop.com/listings/100-lefferts-avenue/5g/15752073,"100 Lefferts Avenue, Apt 5G","Prospect Lefferts Gardens, Flatbush, Central Brooklyn, Brooklyn","$2,550",1,1,0,
https://www.renthop.com/listings/2309-astoria-boulevard/3f/12890730,"2309 Astoria Boulevard, Apt 3F...","Astoria, Northwestern Queens, Queens","$2,700",2,1,0,
https://www.renthop.com/listings/46-01-skillman-ave/f39/15813839,"46-01 Skillman Ave, Apt F39","Sunnyside, Long Island City, Northwestern Queens, Queens","$2,950",3,1,0,
https://www.renthop.com/listings/46-01-skillman-ave/f37/15806250,"46-01 Skillman Ave, Apt F37","Sunnyside, Long Island City, Northwestern Queens, Queens","$2,950",3,1,0,
https://www.renthop.com/listings/49-park-avenue/1a/15791401,"49 Park Avenue, Apt 1A","Murray Hill, Midtown Manhattan, Manhattan","$3,150",1,1,0,
https://www.renthop.com/listings/front-street-seaport/2b/15855561, front street seaport ,"Financial District, Downtown Manhattan, Manhattan","$4,000",1,1,0,
https://www.renthop.com/listings/100-lefferts-avenue/5g/15752073,"100 Lefferts Avenue, Apt 5G","Prospect Lefferts Gardens, Flatbush, Central Brooklyn, Brooklyn","$2,550",1,1,0,
https://www.renthop.com/listings/400-west-63rd-street/1612/15816773,"400 West 63rd Street, Apt 1612...","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan","$4,260",1,1,0,
https://www.renthop.com/listings/74-bleecker-st/na/15802871,74 Bleecker St,"Bushwick, Northern Brooklyn, Brooklyn","$2,980",3,1,0,
